Week start (Monday)	Week end (Sunday)	Working days	Reason
2011-07-11	2011-07-17	5	
2011-07-04	2011-07-10	5	
2011-06-27	2011-07-03	5	
2011-06-20	2011-06-26	5	
2011-06-13	2011-06-19	5	
2011-06-06	2011-06-12	5	
2011-05-30	2011-06-05	4	Spring bank holiday
2011-05-23	2011-05-29	5	
2011-05-16	2011-05-22	5	
2011-05-09	2011-05-15	5	
2011-05-02	2011-05-08	4	Early May bank holiday
2011-04-25	2011-05-01	3	Easter Monday and Royal Wedding
2011-04-18	2011-04-24	4	Good Friday
2011-04-11	2011-04-17	5	
2011-04-04	2011-04-10	5	
2011-03-28	2011-04-03	5	
2011-03-21	2011-03-27	5	
2011-03-14	2011-03-20	5	
2011-03-07	2011-03-13	5	
2011-02-28	2011-03-06	5	
2011-02-21	2011-02-27	5	
2011-02-14	2011-02-20	5	
2011-02-07	2011-02-13	5	
2011-01-31	2011-02-06	5	
2011-01-24	2011-01-30	5	
2011-01-17	2011-01-23	5	
2011-01-10	2011-01-16	5	
2011-01-03	2011-01-09	4	New Year's Day (substitute)
2010-12-27	2011-01-02	3	Christmas (substitute) and Boxing Day (substitute)
2010-12-20	2010-12-26	5	
2010-12-13	2010-12-19	5	
2010-12-06	2010-12-12	5	
2010-11-29	2010-12-05	5	
2010-11-22	2010-11-28	5	
2010-11-15	2010-11-21	5	
2010-11-08	2010-11-14	5	
2010-11-01	2010-11-07	5	
2010-10-25	2010-10-31	5	
2010-10-18	2010-10-24	5	
2010-10-11	2010-10-17	5	
2010-10-04	2010-10-10	5	
2010-09-27	2010-10-03	5	
2010-09-20	2010-09-26	5	
2010-09-13	2010-09-19	5	
2010-09-06	2010-09-12	5	
2010-08-30	2010-09-05	4	Summer Bank Holiday
2010-08-23	2010-08-29	5	
2010-08-16	2010-08-22	5	
2010-08-09	2010-08-15	5	
2010-08-02	2010-08-08	5	
2010-07-26	2010-08-01	5	
2010-07-19	2010-07-25	5	
2010-07-12	2010-07-18	5	
2010-07-05	2010-07-11	5	
2010-06-28	2010-07-04	5	
2010-06-21	2010-06-27	5	
2010-06-14	2010-06-20	5	
2010-06-07	2010-06-13	5	
2010-05-31	2010-06-06	4	Spring Bank Holiday
2010-05-24	2010-05-30	5	
2010-05-17	2010-05-23	5	
2010-05-10	2010-05-16	5	
2010-05-03	2010-05-09	4	Early May bank holiday
2010-04-26	2010-05-02	5	
2010-04-19	2010-04-25	5	
2010-04-12	2010-04-18	5	
2010-04-05	2010-04-11	4	Easter Monday
2010-03-29	2010-04-04	4	Good Friday
2010-03-22	2010-03-28	5	
2010-03-15	2010-03-21	5	
2010-03-08	2010-03-14	5	
2010-03-01	2010-03-07	5	
2010-02-22	2010-02-28	5	
2010-02-15	2010-02-21	5	
2010-02-08	2010-02-14	5	
2010-02-01	2010-02-07	5	
2010-01-25	2010-01-31	5	
2010-01-18	2010-01-24	5	
2010-01-11	2010-01-17	5	
2010-01-04	2010-01-10	5	
2009-12-28	2010-01-03	3	Boxing day (substitute) and New Year's day
2009-12-21	2009-12-27	4	Christmas Day
